Bairros,Total,Homens,Mulheres
AFLITOS,5773,2541,3232
AFOGADOS,36265,16694,19571
AGUA FRIA,43529,20294,23235
ALTO DO MANDU,4655,2091,2564
ALTO JOSE BONIFACIO,12462,5863,6599
ALTO JOSE DO PINHO,12334,5617,6717
ALTO SANTA TERESINHA,7703,3601,4102
APIPUCOS,3342,1567,1775
AREIAS,29894,13573,16321
ARRUDA,14530,6607,7923
BARRO,31847,14965,16882
BEBERIBE,8856,4231,4625
BOA VIAGEM,122922,55044,67878
BOA VISTA,14778,6164,8614
BOMBA DO HEMETERIO,8472,3880,4592
BONGI,8097,3723,4374
BRASILIA TEIMOSA,18334,8571,9763
BREJO DA GUABIRABA,11732,5564,6168
BREJO DE BEBERIBE,8292,3938,4354
CABANGA,1551,679,872
CAJUEIRO,6584,2983,3601
CAMPINA DO BARRETO,9484,4430,5054
CAMPO GRANDE,32149,14557,17592
CASA AMARELA,29180,12995,16185
CASA FORTE,6750,3014,3736
CAXANGA,9634,4584,5050
CACOTE,10470,4954,5516
CIDADE UNIVERSITARIA,818,419,399
COELHOS,7633,3571,4062
COHAB,67283,31584,35699
COQUEIRAL,10794,5073,5721
CORDEIRO,41164,18416,22748
CORREGO DO JENIPAPO,9246,4418,4828
CURADO,16418,7753,8665
DERBY,2071,855,1216
DOIS IRMAOS,2566,1251,1315
DOIS UNIDOS,32905,15662,17243
ENCRUZILHADA,11940,5196,6744
ENGENHO DO MEIO,10211,4609,5602
ESPINHEIRO,10438,4465,5973
ESTANCIA,9240,4326,4914
FUNDAO,8132,3707,4425
GRACAS,20538,8842,11696
GUABIRABA,6330,3116,3214
HIPODROMO,2658,1162,1496
IBURA,50617,23833,26784
ILHA DO LEITE,1007,446,561
ILHA DO RETIRO,3740,1790,1950
ILHA JOANA BEZERRA,12629,6002,6627
IMBIRIBEIRA,48512,22508,26004
IPSEP,25029,11007,14022
IPUTINGA,52200,24036,28164
JAQUEIRA,1591,705,886
JARDIM SAO PAULO,31648,14624,17024
JIQUIA,10245,4775,5470
JORDAO,20777,9746,11031
LINHA DO TIRO,14867,7005,7862
MACAXEIRA,20313,9725,10588
MADALENA,23082,10340,12742
MANGABEIRA,6950,3169,3781
MANGUEIRA,8480,3880,4600
MONTEIRO,5917,2713,3204
MORRO DA CONCEICAO,10182,4723,5459
MUSTARDINHA,12429,5659,6770
NOVA DESCOBERTA,34212,16245,17967
PAISSANDU,507,218,289
PARNAMIRIM,7636,3408,4228
PASSARINHO,20305,9954,10351
PAU-FERRO,72,34,38
PEIXINHOS,4998,2443,2555
PINA,29176,13503,15673
PONTO DE PARADA,1554,693,861
PORTO DA MADEIRA,7713,3579,4134
POCO,4615,2097,2518
PRADO,11694,5285,6409
RECIFE,602,287,315
ROSARINHO,4077,1817,2260
SAN MARTIN,25414,11584,13830
SANCHO,11199,7014,4185
SANTANA,3054,1376,1678
SANTO AMARO,27939,12680,15259
SANTO ANTONIO,285,159,126
SAO JOSE,8688,4191,4497
SITIO DOS PINTOS,7276,3495,3781
SOLEDADE,2495,1041,1454
TAMARINEIRA,14124,6151,7973
TEJIPIO,8918,4085,4833
TORRE,17903,7919,9984
TORREAO,1083,475,608
TORROES,32015,15101,16914
TOTO,2420,1101,1319
VARZEA,70453,32870,37583
VASCO DA GAMA,31025,14501,16524
ZUMBI,6033,2678,3355
