nome_bairro,nome_grupo,desc_atividade,total,n,proporcao
RECIFE,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,602,1,602
SOLEDADE,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,2495,1,2495
SANTANA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,3054,1,3054
BOA VISTA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,14778,4,3694.5
ALTO DO MANDU,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,4655,1,4655
AFLITOS,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,5773,1,5773
ZUMBI,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,6033,1,6033
CAJUEIRO,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,6584,1,6584
GRACAS,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,20538,3,6846
AREIAS,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,29894,4,7473.5
BOA VIAGEM,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,122922,14,8780.142857142857
CAXANGA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,9634,1,9634
ENGENHO DO MEIO,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,10211,1,10211
ESPINHEIRO,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,10438,1,10438
MADALENA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,23082,2,11541
PRADO,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,11694,1,11694
AFOGADOS,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,36265,3,12088.333333333334
IPUTINGA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,52200,4,13050
CORDEIRO,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,41164,3,13721.333333333334
ARRUDA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,14530,1,14530
CASA AMARELA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,29180,2,14590
JARDIM SAO PAULO,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,31648,2,15824
IMBIRIBEIRA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,48512,3,16170.666666666666
VARZEA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,70453,3,23484.333333333332
IPSEP,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,25029,1,25029
PINA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,29176,1,29176
IBURA,DIVERSOES PUBLICAS,PRODUÇÃO MUSICAL,50617,1,50617
